"Position","Species","IMAGE_ID","EXP_CODE","CIR_RATIO","X_PIXEL","Y_PIXEL","X_SCALE","Y_SCALE","COMP_TIME","SKL_NODES","DIA_STM","DIA_STM_SIMPLE","AREA","AVG_DENSITY","TD_AVG","WIDTH_MAX","D10","D20","D30","D40","D50","D60","D70","D80","D90","RDISTR_X","RDISTR_Y","SKL_DEPTH","SKL_WIDTH","RTP_COUNT","STA_RANGE","STA_MAX","RTA_RANGE","RTA_MAX","ADVT_COUNT","BASAL_COUNT","ADVT_ANG","BASAL_ANG","HYP_DIA","TAP_DIA","MAX_DIA_90","DROP_50","Image_Name","Full.Path","Name","Type","Date","URL","Last.Updated","Folder_Name","UniqId.x","File_copy","Comment","Block","Order","ML","UniqId.y","GerminationDate","Comment1","Dead_plant","DeathCause","RootsHarvested","SeedsCounted","Trt","Comp","Combos","Population"
"103A","Ip","img_6851.jpg","No label found",1,217,15,0.117050691,1.693333333,1328,44250,10.378,178.647,43547.2,0.972891,2.03324,85.5641,0.19563,0.290843,0.361602,0.420916,0.475546,0.525494,0.578044,0.633195,0.694069,-11.6791,-3008.89,3247.81,118.338,298,89.8364,89.9726,89.3223,89.5496,24,29,65.3531,78.3261,7.24149,4.10365,3.67606,3251.2,"img_6851.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6851.JPG","IMG_6851.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1TciqimSDAnvKDyJKbvzaQWPgbi4j3okM/view?usp=drivesdk","7/16/18","Root_Images_7162018","103AP",NA,"",1,103,"PA4.16Ip","103AIp","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.2 Ihed","PA 4.16 Ip-PA 4.2 Ihed","PA4"
"104","Ihed","img_6846.jpg","No label found",1,34,22,0.747058824,1.154545455,739,17455,17.9143,103.332,152398,2.44409,2.62575,1211.36,0.197638,0.313238,0.390305,0.453698,0.487259,0.513984,0.538222,0.574891,0.615289,-85.038,-1608.83,1853.05,1335.74,152,86.9673,89.6425,82.3662,82.6239,10,22,23.0815,51.3515,10.6476,5.64612,4.5228,1855.35,"img_6846.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6846.JPG","IMG_6846.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1W2adrFRA0aseO0b--lFDD9cYAkgvrsJD/view?usp=drivesdk","7/16/18","Root_Images_7162018","104H",NA,"",1,104,"PA4.3Ihed","104Ihed","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.14 Ip","PA 4.14 Ip-PA 4.3 Ihed","PA4"
"104","Ip","img_6845.jpg","No label found",1,34,22,0.747058824,1.154545455,1326,37237,14.529,105.641,247941,1.38178,2.49783,535.618,0.198171,0.289634,0.370122,0.434756,0.496341,0.567073,0.638415,0.711585,0.807927,-73.8434,-1805.04,1888.84,843.429,270,84.5494,89.6933,80.4467,82.8831,17,32,42.2676,40.5828,9.49255,6.01794,6.19997,1891.15,"img_6845.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6845.JPG","IMG_6845.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1H2GdlzXZ2Yo05KIiOitQBmP43hNLQKFo/view?usp=drivesdk","7/16/18","Root_Images_7162018","104P",NA,"",1,104,"PA4.14Ip","104Ip","43258.0",NA,NA,NA,"Y","N","Inter","PA 4.3 Ihed","PA 4.14 Ip-PA 4.3 Ihed","PA4"
"105","Ip","img_6852.jpg","No label found",1,217,15,0.117050691,1.693333333,800,24021,9.38083,130.387,23623.4,1.93092,2.03396,75.9659,0.293639,0.387574,0.446746,0.49926,0.556953,0.618343,0.678254,0.73003,0.778107,-1.6592,-2235.82,2282.61,135.311,211,89.1978,89.4486,88.7519,89.3502,20,29,79.54,84.0104,6.6864,3.8676,3.72897,2286,"img_6852.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6852.JPG","IMG_6852.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1j6v8-zSmpe-bcRCoaUJ5iObxF3D6XsI-/view?usp=drivesdk","7/16/18","Root_Images_7162018","105P",NA,"",1,105,"PA4.13Ip","105Ip","43258.0",NA,NA,NA,"Y","N","Inter","PA 4.12 Ihed","PA 4.13 Ip-PA 4.12 Ihed","PA4"
"108","Ihed","img_6844.jpg","No label found",1,34,22,0.747058824,1.154545455,294,5669,18.1148,73.8909,67173.4,1.77314,2.61415,436.656,0.0568286,0.112741,0.233731,0.302475,0.508708,0.588451,0.622365,0.643446,0.668194,-157.874,-1080.53,1254.99,821.765,55,82.9131,88.2491,88.4007,89.1941,11,15,47.6315,49.8502,8.04997,4.54908,5.10647,1257.3,"img_6844.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6844.JPG","IMG_6844.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1Fl3iXczZfO1OANojMrZwD7kAgvUXQBGj/view?usp=drivesdk","7/16/18","Root_Images_7162018","108H",NA,"",1,108,"PA4.3Ihed","108Ihed","43258.0",NA,NA,NA,"Y","N","Inter","PA 4.15 Ip","PA 4.15 Ip-PA 4.3 Ihed","PA4"
"11","Ip","img_6937.jpg","No label found",1,217,15,0.117050691,1.693333333,711,23611,9.96784,165.1,36012,1.46872,2.32677,66.6018,0.129105,0.172707,0.275198,0.344847,0.402039,0.456399,0.51812,0.588335,0.687429,9.2375,-2684.67,2983.65,96.8009,161,83.4328,85.0908,89.4286,89.4286,9,31,74.2629,78.8415,7.08544,5.7162,4.04814,2987.04,"img_6937.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6937.JPG","IMG_6937.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1j0czZ57KDAFdcicRe79SpooNUxVRMK0R/view?usp=drivesdk","7/16/18","Root_Images_7162018","11P",NA,"",1,11,"PA4.18Ip","11Ip","43258.0",NA,NA,NA,"Y","N","Alone",NA,NA,"PA4"
"115","Ip","img_6850.jpg","No label found",1,217,15,0.117050691,1.693333333,725,18296,11.1355,142.24,17836.9,0.766141,2.13961,104.526,0.239493,0.356905,0.433622,0.494997,0.547031,0.592395,0.633756,0.676451,0.717812,-0.426263,-2224.47,2531.53,121.733,154,87.6186,87.8185,44.4558,89.2537,7,27,84.1566,83.8468,6.09065,3.91427,4.58107,2534.92,"img_6850.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6850.JPG","IMG_6850.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1Msvqzh5FbtClBEVa64AV6hpxIRy6U8tX/view?usp=drivesdk","7/16/18","Root_Images_7162018","115P",NA,"",1,115,"PA4.13Ip","115Ip","43262.0",NA,NA,NA,"Y","N","Alone",NA,NA,"PA4"
"115A","Ihed","img_6939.jpg","No label found",1,217,15,0.117050691,1.693333333,656,19322,9.70303,143.087,25577.5,0.767595,2.32301,72.6885,0.318,0.372,0.470667,0.544,0.614667,0.682667,0.735333,0.784,0.847333,-5.51512,-2646.69,2531.53,113.305,138,87.3925,87.4315,87.9613,89.3024,17,16,72.1608,78.7012,5.92434,4.37578,4.58107,2536.61,"img_6939.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6939.JPG","IMG_6939.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1vGwzKYfQeMjESwcAz-EJ-Z2nREweq-7V/view?usp=drivesdk","7/16/18","Root_Images_7162018","115AH",NA,"",1,115,"PA4.15Ihed","115AIhed","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.19 Ip","PA 4.19 Ip-PA 4.15 Ihed","PA4"
"115A","Ip","img_6931.jpg","No label found",1,217,15,0.117050691,1.693333333,746,24293,9.5506,151.553,36652.8,0.963074,2.45678,65.0793,0.197754,0.285714,0.380536,0.467249,0.537118,0.609482,0.693699,0.787274,0.855895,8.80119,-2781.46,2707.64,78.8922,160,86.1822,86.3522,89.4522,89.6064,18,15,84.9022,83.0906,6.94465,4.63949,3.72897,2711.03,"img_6931.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6931.JPG","IMG_6931.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1nC-USQlNmN4cQvlABMafL2WVP1AnE50M/view?usp=drivesdk","7/16/18","Root_Images_7162018","115AP",NA,"",1,115,"PA4.19Ip","115AIp","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.15 Ihed","PA 4.19 Ip-PA 4.15 Ihed","PA4"
"116","Ihed","img_6865.jpg","No label found",1,217,15,0.117050691,1.693333333,1085,29460,9.84021,178.647,27720.1,0.925491,2.0261,81.2332,0.358481,0.444849,0.516129,0.603538,0.668054,0.727367,0.78512,0.852237,0.923517,-3.89483,-3387.14,3246.12,117.051,184,88.3225,88.7706,84.6173,89.5819,16,19,78.8265,84.798,6.92769,3.22434,3.04469,3251.2,"img_6865.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6865.JPG","IMG_6865.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1l88CORqCEJG4WsBjzJMnA-XC8MuDsJ8b/view?usp=drivesdk","7/16/18","Root_Images_7162018","116H",NA,"",1,116,"PA4.9Ihed","116Ihed","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.17 Ip","PA 4.17 Ip-PA 4.9 Ihed","PA4"
"116","Ip","img_6940.jpg","No label found",1,217,15,0.117050691,1.693333333,450,12281,10.0358,165.1,19477.5,1.54798,2.46157,73.0982,0.14949,0.238392,0.283126,0.3188,0.357305,0.411665,0.460929,0.505096,0.657418,2.70267,-2288.49,2980.27,77.4876,85,46.1021,46.1099,51.0688,89.5903,10,16,76.9594,86.778,7.34294,4.58204,4.81408,2985.35,"img_6940.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6940.JPG","IMG_6940.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1LYx-wDiZqZOQF8wg8HHCzivcz1HwrzhW/view?usp=drivesdk","7/16/18","Root_Images_7162018","116P",NA,"",1,116,"PA4.17Ip","116Ip","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.9 Ihed","PA 4.17 Ip-PA 4.9 Ihed","PA4"
"117","Ip","img_6864.jpg","No label found",1,217,15,0.117050691,1.693333333,430,13692,9.24717,110.067,15360,1.92893,2.0843,45.006,0.181412,0.302949,0.424486,0.486148,0.555853,0.617516,0.680071,0.728329,0.771224,-0.433363,-1972.18,1888.07,51.8535,80,89.8121,89.9304,82.859,89.0765,12,17,68.5334,80.967,6.74655,4.9742,3.43761,1891.45,"img_6864.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6864.JPG","IMG_6864.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1rFj_CgpfKXDAXMua42rIh2CGTBXcqxvL/view?usp=drivesdk","7/16/18","Root_Images_7162018","117P",NA,"",1,117,"PA4.19Ip","117Ip","43258.0",NA,NA,NA,"Y","N","Alone",NA,NA,"PA4"
"117A","Ihed","img_6849.jpg","No label found",1,217,15,0.117050691,1.693333333,570,15806,8.5436,150.707,15815.4,0.88943,2.10769,52.4972,0.238394,0.306775,0.37202,0.436637,0.497491,0.560226,0.620452,0.676913,0.730866,10.8551,-2379.53,2690.71,75.2636,108,89.1323,89.2234,75.2283,89.6752,7,20,78.7332,83.3137,6.12447,3.68006,3.8285,2695.79,"img_6849.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6849.JPG","IMG_6849.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1laXGqpwEFL7vE3EpsDvlQ6voOt-aylxU/view?usp=drivesdk","7/16/18","Root_Images_7162018","117AH",NA,"",1,117,"PA4.15Ihed","117AIhed","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.18 Ip","PA 4.18 Ip-PA 4.15 Ihed","PA4"
"117A","Ip","img_6848.jpg","No label found",1,34,22,0.747058824,1.154545455,806,27374,13.9117,95.25,187478,1.21744,2.56658,471.021,0.255464,0.329235,0.416667,0.491803,0.571721,0.64276,0.706284,0.780055,0.875,23.8383,-1686.96,1684.48,687.294,187,80.5433,89.7301,83.4238,83.9905,13,21,32.428,42.1225,9.11102,5.8921,4.81189,1687.95,"img_6848.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6848.JPG","IMG_6848.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1GvsQxfEJeeya757czuPetBBGbgl8zZsX/view?usp=drivesdk","7/16/18","Root_Images_7162018","117AP",NA,"",1,117,"PA4.18Ip","117AIp","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.15 Ihed","PA 4.18 Ip-PA 4.15 Ihed","PA4"
"119A","Ihed","img_6812.jpg","No label found",1,34,22,0.747058824,1.154545455,345,9724,10.3673,75.6227,72336.4,0.509622,2.72927,427.318,0.15508,0.245989,0.31016,0.368984,0.42959,0.496435,0.579323,0.675579,0.797683,-26.7811,-1008.6,1290.78,479.612,73,86.3569,88.8732,82.3624,84.4712,8,16,55.7799,63.214,5.02617,5.64695,4.25212,1293.09,"img_6812.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6812.JPG","IMG_6812.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1gDzWPyFGlPaoOocbpRm-4idWecTP6sX1/view?usp=drivesdk","7/16/18","Root_Images_7162018","119AH",NA,"",1,119,"PA4.15Ihed","119AIhed","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.16 Ip","PA 4.16 Ip-PA 4.15 Ihed","PA4"
"119A","Ip","img_6882.jpg","No label found",1,217,15,0.117050691,1.693333333,584,19155,8.94427,136.313,20508.2,0.564301,2.12297,82.4622,0.168067,0.252801,0.394258,0.493697,0.573529,0.636555,0.701681,0.769608,0.855742,-6.9959,-2256.35,2409.61,91.0654,130,89.0373,89.2716,88.7164,89.4383,18,13,73.1819,87.5789,6.57824,3.65504,3.43761,2414.69,"img_6882.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6882.JPG","IMG_6882.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1gMN361ZRSV6twElorgBkGohZhBwwcIPU/view?usp=drivesdk","7/16/18","Root_Images_7162018","119AP",NA,"",1,119,"PA4.16Ip","119AIp","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.15 Ihed","PA 4.16 Ip-PA 4.15 Ihed","PA4"
"120","Ihed","img_6867.jpg","No label found",1,217,15,0.117050691,1.693333333,616,15533,9.73787,138.007,17829.8,0.776426,2.10377,72.8641,0.335867,0.483759,0.55425,0.602626,0.65584,0.708362,0.760194,0.821009,0.894264,2.71597,-2583.85,2443.48,88.1392,109,84.8485,86.1969,79.4838,89.4342,15,7,79.406,80.9007,6.36427,3.8621,4.04814,2446.87,"img_6867.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6867.JPG","IMG_6867.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1S60Ml0xZH02u5q3YQjQMEmEdgMTv3W16/view?usp=drivesdk","7/16/18","Root_Images_7162018","120H",NA,"",1,120,"PA4.9Ihed","120Ihed","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.16 Ip","PA 4.16 Ip-PA 4.9 Ihed","PA4"
"121A","Ip","img_6834.jpg","No label found",1,34,22,0.747058824,1.154545455,495,11827,9.5506,77.9318,98358.4,2.98661,2.66412,444.874,0.204467,0.335911,0.445017,0.506873,0.55756,0.597938,0.63488,0.677835,0.741409,42.5488,-1354.16,1338.12,552.824,119,87.2396,89.7555,80.3055,80.324,19,12,34.7369,39.1064,9.62923,5.82727,5.77397,1341.58,"img_6834.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6834.JPG","IMG_6834.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/1H-1JwKEzIM06SIGBEg-dv_Exh9BSmg5I/view?usp=drivesdk","7/16/18","Root_Images_7162018","121AP",NA,"",1,121,"PA4.15Ip","121AIp","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.2 Ihed","PA 4.15 Ip-PA 4.2 Ihed","PA4"
"123","Ihed","img_6923.jpg","No label found",1,217,15,0.117050691,1.693333333,260,1897,11.0416,51.6467,5695.05,1.48777,2.68552,51.7364,0.039627,0.0769231,0.11655,0.156177,0.198135,0.240093,0.314685,0.414918,0.538462,-5.12993,-553.964,717.973,51.6194,23,59.8628,60.3078,56.2145,88.2966,5,4,72.9689,67.7464,4.29627,6.71881,4.04814,723.053,"img_6923.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6923.JPG","IMG_6923.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/159h1m9Ws7sm3D49YkbA7S9UdSlkeo2co/view?usp=drivesdk","7/16/18","Root_Images_7162018","123H",NA,"",1,123,"PA4.9Ihed","123Ihed","43258.0",NA,NA,NA,"Y","N","Inter","PA 4.13 Ip","PA 4.13 Ip-PA 4.9 Ihed","PA4"
"123","Ip","img_6883.jpg","No label found",1,217,15,0.117050691,1.693333333,423,12398,8.25333,100.753,12106.2,1.00535,2.05241,40.9385,0.160359,0.242032,0.308765,0.365538,0.421315,0.481076,0.537849,0.590637,0.688247,-5.54768,-1449.28,1693.33,55.5991,96,85.041,85.3858,87.6651,89.6228,9,23,77.2297,82.1394,6.50266,4.93951,3.67606,1696.72,"img_6883.jpg","Field_Root_Photos/Root_Images_7162018/IMG_6883.JPG","IMG_6883.JPG","JPG","7/16/18","https://drive.google.com/a/umich.edu/file/d/17G8CqRXY7XW2uveS9QY5go8d2cWQpfJh/view?usp=drivesdk","7/16/18","Root_Images_7162018","123P",NA,"",1,123,"PA4.13Ip","123Ip","43262.0",NA,NA,NA,"Y","N","Inter","PA 4.9 Ihed","PA 4.13 Ip-PA 4.9 Ihed","PA4"
